drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
2020-03-07,XSMB,"Hà Nội",87368,87,68,12DQ|11DQ|5DQ,73173,27036|54544,77812|59408|72899|82344|73114|19856,5565|2531|8203|5162,1387|1730|3015|3276|7577|7061,910|058|275,06|83|85|12
2020-03-08,XSMB,"Hà Nội",55060,55,60,12DP|3DP|11DP,09692,35242|33557,85243|84377|31610|46002|05394|84921,1848|1585|6292|1640,9995|8722|2765|2735|4543|0129,461|055|185,03|73|33|53
2020-03-09,XSMB,"Hà Nội",95973,95,73,4DN|6DN|8DN,03777,43096|02288,32579|37853|22678|40864|96861|18906,6471|6581|6602|2389,7956|6879|7209|5214|2437|0928,182|761|885,64|80|76|95
2020-03-10,XSMB,"Hà Nội",83549,83,49,2DM|10DM|11DM,12329,92542|35165,59764|46481|97051|57851|13914|77505,6407|6019|6797|0379,2990|8896|1664|5590|1955|2214,206|597|471,99|01|17|63
2020-03-11,XSMB,"Hà Nội",29224,29,24,1DL|12DL|10DL,68194,43580|38840,08329|31050|05198|46360|11025|51779,0725|2359|2302|6234,4629|1141|8702|0626|9691|8499,445|065|174,45|79|21|11
2020-03-12,XSMB,"Hà Nội",74951,74,51,10DK|13DK|12DK,27007,55721|08593,13339|57361|72694|54853|93029|66362,4054|8582|4532|3578,4231|8198|5918|7332|6121|2635,209|821|619,44|56|01|47
2020-03-13,XSMB,"Hà Nội",73118,73,18,11DH|2DH|4DH,09141,98087|40822,52331|72524|22989|13005|58740|98211,8423|1719|7100|9083,1384|9262|9040|8400|5081|4900,852|814|387,92|82|02|99
2020-03-14,XSMB,"Hà Nội",18915,18,15,8DG|13DG|9DG,50209,46360|69622,71028|51970|15750|01316|58671|85924,4090|5861|4710|2972,0181|0274|3505|8715|4113|8599,714|187|621,98|35|02|15
2020-03-15,XSMB,"Hà Nội",18901,18,01,10DF|13DF|8DF,74415,31161|20773,23514|55646|06937|73046|12636|49186,1400|5832|8251|7684,5471|2988|2124|3514|4015|7120,530|898|156,85|10|24|18
2020-03-16,XSMB,"Hà Nội",28322,28,22,14DE|8DE|15DE,07557,65702|27990,64263|88400|71845|11256|02428|45940,2686|1044|5988|9434,1010|0574|1724|0566|4075|7615,998|974|058,30|77|00|29
2020-03-17,XSMB,"Hà Nội",52267,52,67,15DC|7DC|5DC,49403,94349|97172,14746|72269|73511|34127|52035|82697,7351|7084|4566|0590,9343|0788|8915|6238|4912|1830,382|411|324,93|25|74|65
2020-03-18,XSMB,"Hà Nội",81489,81,89,6DB|14DB|13DB,16279,16833|13453,33416|18422|62872|73341|70559|86064,1492|1565|5294|7895,2797|2218|9847|4788|1000|7626,251|694|594,12|54|28|90
2020-03-19,XSMB,"Hà Nội",85074,85,74,1DA|12DA|7DA,33372,86985|36432,11074|01151|29579|69251|13863|22942,7227|6123|0804|6806,8004|8389|3963|1822|4929|3867,110|971|212,81|19|36|79
2020-03-20,XSMB,"Hà Nội",85736,85,36,8EZ|11EZ|2EZ,50768,07778|01694,95155|67664|71816|05675|80446|19342,6841|3562|0268|3456,2591|1791|1714|7101|4306|4871,831|374|331,74|73|89|21
2020-03-21,XSMB,"Hà Nội",55521,55,21,14EY|11EY|3EY,17703,75598|49924,56896|96015|37437|74398|25272|85690,1428|0443|7921|4724,3314|3035|1677|7751|8334|7586,612|214|306,91|48|90|26
2020-03-22,XSMB,"Hà Nội",46024,46,24,5EX|9EX|4EX,31360,46433|27853,97952|29276|39119|02095|44500|12422,0613|2813|8135|9527,1434|4104|0658|7369|9922|0272,191|310|917,48|09|87|08
