drawDate,lotteryType,province,DB,DB_head,DB_tail,G1,G2,G3,G4,G5,G6,G7
2020-02-05,XSMT,"Đà Nẵng",958638,95,38,68044,98864|05718,21617|93853|71246|64736|73078|64627|46138,4757,7936|1907|9346,010,28
2020-02-05,XSMT,"Khánh Hòa",766997,76,97,49365,96604|22847,93861|30353|18176|45091|46459|09953|41434,0104,9149|1411|6853,890,38
2020-02-06,XSMT,"Quảng Bình",972688,97,88,06045,69160|94529,25772|83781|59272|00291|89238|44572|02332,3171,1870|6161|2086,680,51
2020-02-06,XSMT,"Bình Định",560765,56,65,40155,68129|21020,33874|03538|10619|15348|88643|03976|11731,8354,7541|1332|3818,090,65
2020-02-06,XSMT,"Quảng Trị",193334,19,34,86676,58364|38063,12561|71546|49297|47167|68791|79733|78719,1054,9213|7546|4237,337,46
2020-02-07,XSMT,"Gia Lai",547914,54,14,43136,07920|94983,34760|27562|50186|00772|92796|35099|44040,4968,6596|1446|4022,180,01
2020-02-07,XSMT,"Ninh Thuận",336497,33,97,50229,12256|45823,78507|12407|83599|73139|71711|86312|44415,0243,1142|0549|2441,905,40
2020-02-08,XSMT,"Đà Nẵng",877264,87,64,72201,38576|14547,99195|23860|50902|92198|38218|11326|31560,1433,6814|3267|4529,810,33
2020-02-08,XSMT,"Quảng Ngãi",901143,90,43,82822,55652|89341,74948|67728|03203|18671|83318|46546|77490,8335,2187|4348|7176,026,42
2020-02-08,XSMT,"Đắk Nông",657275,65,75,63677,61061|73032,70763|93836|97292|88146|23793|73511|01528,8944,9505|5055|6276,223,86
2020-02-09,XSMT,"Khánh Hòa",441730,44,30,95772,98914|48931,86315|68509|28877|19619|31743|72132|18304,3553,8212|2766|6960,702,29
2020-02-09,XSMT,"Kon Tum",553673,55,73,31519,74108|73779,11681|10324|57006|38036|99732|78312|73104,0395,3340|7262|5280,495,77
2020-02-10,XSMT,"Phú Yên",563049,56,49,00259,31548|42769,37393|84997|48115|13864|04908|36470|91887,6811,1915|7966|8791,084,35
2020-02-10,XSMT,"Huế",986281,98,81,88382,49802|68191,77130|30171|79398|11844|54967|27449|23225,6325,7117|9928|8852,101,25
2020-02-11,XSMT,"Đắk Lắk",463593,46,93,91220,90580|20484,77839|69061|33818|34556|04276|50159|92199,6558,4830|3390|6538,628,87
2020-02-11,XSMT,"Quảng Nam",723056,72,56,35371,25029|76727,94516|61453|20096|90470|96072|40886|35731,7533,2358|4423|7364,534,69
2020-02-12,XSMT,"Đà Nẵng",398801,39,01,80434,93110|96163,91348|35769|13498|71251|14931|64149|66716,4673,2323|7272|4078,967,09
2020-02-12,XSMT,"Khánh Hòa",857781,85,81,31161,96994|80466,44934|55167|15790|60549|56023|36806|41269,2198,3315|6190|6793,964,56
2020-02-13,XSMT,"Quảng Bình",345319,34,19,99827,44555|57035,44093|00340|08943|36474|12777|67057|47656,2171,1902|6060|2380,790,41
2020-02-13,XSMT,"Bình Định",388470,38,70,73401,47298|74668,24873|90795|05607|44292|84134|13360|16600,6870,0524|9559|7934,986,92
2020-02-13,XSMT,"Quảng Trị",549579,54,79,23606,67062|32585,66006|58522|24196|98761|79808|19585|53223,9594,9750|7185|2624,867,13
2020-02-14,XSMT,"Gia Lai",687607,68,07,18557,98940|35596,17273|73367|19141|26371|09624|53693|72702,4722,5365|0479|2015,158,12
2020-02-14,XSMT,"Ninh Thuận",246528,24,28,13282,75850|65320,06699|62030|96760|20923|35241|07034|54450,6360,9454|0022|4487,004,81
2020-02-15,XSMT,"Đà Nẵng",025632,02,32,47301,79362|40381,85890|41104|07003|89775|38618|01426|81874,8355,4925|8965|4491,209,82
2020-02-15,XSMT,"Quảng Ngãi",771204,77,04,57043,86210|76925,47714|41202|65170|20061|58623|38957|44886,8446,7867|0828|6033,100,01
2020-02-15,XSMT,"Đắk Nông",228603,22,03,97926,89234|98391,79134|67543|94492|96711|08715|38948|25730,9992,9253|0033|8793,945,08
2020-02-16,XSMT,"Khánh Hòa",862684,86,84,99624,10308|80581,36502|42101|25076|27305|84935|06406|18418,3521,1862|9308|7707,012,04
2020-02-16,XSMT,"Kon Tum",082926,08,26,82760,97797|21483,09125|48747|09446|85308|24964|47879|39922,9885,7222|5165|1447,422,89
2020-02-17,XSMT,"Phú Yên",737521,73,21,52293,84003|46282,59281|36267|18366|65376|42192|18206|14305,2226,1985|4550|2955,916,61
2020-02-17,XSMT,"Huế",658149,65,49,36074,56762|47911,41445|19194|84050|20029|23429|76908|58146,0194,3000|3948|5545,000,96
2020-02-18,XSMT,"Đắk Lắk",626287,62,87,74090,43993|71243,16104|40684|25346|33678|06107|67613|62251,8297,5390|0477|6850,658,52
2020-02-18,XSMT,"Quảng Nam",028904,02,04,76658,50143|54954,91131|33035|10384|34271|01540|86142|60020,5762,6546|0406|1957,746,83
2020-02-19,XSMT,"Đà Nẵng",262956,26,56,65433,56139|56367,01584|56472|25748|23309|72861|09222|55614,4916,0959|7047|0239,601,47
2020-02-19,XSMT,"Khánh Hòa",257147,25,47,27050,80804|91199,77281|40978|62678|62506|43610|72490|75614,4953,5316|4099|4674,381,03
2020-02-20,XSMT,"Quảng Bình",189815,18,15,10356,67034|85676,92742|70217|89514|42813|90140|01206|33698,8881,5234|4128|8952,468,02
2020-02-20,XSMT,"Bình Định",626262,62,62,93659,00610|28240,01938|51234|27126|40417|01703|42063|97381,1220,5609|4964|2527,838,51
2020-02-20,XSMT,"Quảng Trị",321285,32,85,07920,71519|09229,31475|43513|19114|37793|77219|16134|59126,3469,4292|3172|2135,652,16
2020-02-21,XSMT,"Gia Lai",774015,77,15,86369,04861|89985,45963|95806|62496|46777|03214|35168|34046,8297,2425|6365|4396,346,90
2020-02-21,XSMT,"Ninh Thuận",144484,14,84,47540,85926|25702,18253|13608|25161|97155|19396|45333|08855,3241,5489|0772|9328,791,35
2020-02-22,XSMT,"Đà Nẵng",273039,27,39,85924,62526|11173,20952|63782|80626|39985|11218|64268|71550,5180,0817|0126|0166,311,22
2020-02-22,XSMT,"Quảng Ngãi",997900,99,00,91279,71512|55728,54010|96439|32204|64025|97926|74178|02159,0164,2956|7198|1606,120,92
2020-02-22,XSMT,"Đắk Nông",538349,53,49,48222,54982|09935,90183|05024|88601|05177|21783|47457|69977,5357,9126|4434|2698,996,72
2020-02-23,XSMT,"Khánh Hòa",961014,96,14,31652,51159|10703,47816|42541|48558|79941|95217|02176|32189,4047,8108|9054|8672,024,77
2020-02-23,XSMT,"Kon Tum",390560,39,60,68761,31084|56610,76277|50098|93160|22419|65224|16290|01801,1580,6295|0907|8936,345,72
2020-02-24,XSMT,"Phú Yên",949351,94,51,47443,95979|40502,50696|12373|51992|60041|96389|63490|79307,9752,5126|6444|5786,548,76
2020-02-24,XSMT,"Huế",828017,82,17,90330,55308|79455,61591|06317|72638|23625|60697|09763|11162,3441,0094|2568|0424,609,85
2020-02-25,XSMT,"Đắk Lắk",396536,39,36,40158,51666|77785,82211|46486|00106|37905|28529|83299|01058,2340,9285|0962|2299,474,81
2020-02-25,XSMT,"Quảng Nam",896312,89,12,35882,03420|84910,68119|48567|46497|95677|06042|82686|09951,5682,8602|8165|8530,414,68
2020-02-26,XSMT,"Đà Nẵng",344293,34,93,11735,37453|85156,21511|12978|44188|54556|05520|94034|83222,7325,5853|9557|9182,908,70
2020-02-26,XSMT,"Khánh Hòa",901455,90,55,40777,34983|26191,53730|78600|17679|57825|18851|13995|41835,1487,8577|2132|1788,336,05
2020-02-27,XSMT,"Quảng Bình",994181,99,81,26914,72777|73160,17883|41931|19101|93529|98361|79921|76440,3084,7175|7093|8326,838,18
2020-02-27,XSMT,"Bình Định",707716,70,16,16138,69833|04158,14150|26847|53523|80707|59445|71024|85439,6353,1035|8032|1925,884,14
2020-02-27,XSMT,"Quảng Trị",420574,42,74,97580,35417|73534,69321|13971|33226|95154|55625|77387|93736,1674,1422|1033|0218,430,54
2020-02-28,XSMT,"Gia Lai",366856,36,56,83620,80725|56225,13989|71418|63597|76885|72343|61684|54086,2232,2315|4728|3142,037,11
2020-02-28,XSMT,"Ninh Thuận",378232,37,32,55637,86381|41598,50741|88581|96364|49243|05874|47704|02682,5872,8267|1347|5232,645,97
2020-02-29,XSMT,"Đà Nẵng",328871,32,71,43372,41185|26690,18078|76162|16896|60757|28150|70826|24930,7156,8235|8267|4864,866,32
2020-02-29,XSMT,"Quảng Ngãi",640903,64,03,88236,04800|39127,03585|36781|57613|13964|18697|21170|96615,0692,1156|7161|9388,369,02
2020-02-29,XSMT,"Đắk Nông",930831,93,31,85580,50432|36016,50387|28364|21100|35076|73977|15272|11098,0551,7911|1377|6494,762,72
2020-03-01,XSMT,"Khánh Hòa",185095,18,95,30956,79014|52010,72138|05381|78511|63678|62880|19814|26422,2276,4703|1018|4522,219,82
2020-03-01,XSMT,"Kon Tum",605400,60,00,50150,57714|06821,12743|48320|23690|96463|78602|85926|12938,0913,5644|3480|9152,268,94
2020-03-02,XSMT,"Phú Yên",469743,46,43,65939,44443|40839,09992|80109|58078|04956|92238|00107|80017,1176,1643|6354|8056,622,51
2020-03-02,XSMT,"Huế",737783,73,83,70971,19037|99877,50293|77665|51128|20866|04520|28185|63294,0708,5054|0869|0647,523,28
2020-03-03,XSMT,"Đắk Lắk",950262,95,62,53249,41992|42693,89589|85331|91626|71174|53129|79422|99511,1360,0955|8223|7382,501,08
2020-03-03,XSMT,"Quảng Nam",592831,59,31,23945,63955|11176,93326|51487|22085|60763|52823|65009|15467,5619,4336|7536|6558,750,93
2020-03-04,XSMT,"Đà Nẵng",195035,19,35,14246,16460|03250,14969|09461|62275|26386|60468|97353|11409,9045,4963|7358|8981,432,53
2020-03-04,XSMT,"Khánh Hòa",001728,00,28,51827,96971|45148,64469|67094|57891|15239|04136|02057|72703,4188,2845|2573|2203,469,93
2020-03-05,XSMT,"Quảng Bình",215057,21,57,93979,28737|45593,42702|09094|62479|01602|32871|98239|30830,1964,0537|5984|7420,102,33
2020-03-05,XSMT,"Bình Định",756935,75,35,35048,91809|81025,73062|46191|98630|12214|56760|23991|02568,9498,9219|5506|4838,637,34
2020-03-05,XSMT,"Quảng Trị",957231,95,31,91602,35840|38270,78656|50399|68363|21555|38659|26568|79516,3211,5317|4310|5545,212,62
2020-03-06,XSMT,"Gia Lai",376161,37,61,82748,16897|84576,62544|49425|41887|05054|18382|56741|87924,5742,0144|2396|4869,703,55
2020-03-06,XSMT,"Ninh Thuận",270295,27,95,82001,92913|39941,55146|61249|86668|50235|25103|20020|68970,2927,5912|3738|5391,814,60
2020-03-07,XSMT,"Đà Nẵng",385271,38,71,93652,11102|21468,34718|73085|24374|77724|32056|41323|11392,6485,1057|1314|5142,778,97
2020-03-07,XSMT,"Quảng Ngãi",161245,16,45,31723,46531|49813,89980|14596|84091|06208|39025|20333|77417,2115,7665|2387|4587,374,11
2020-03-07,XSMT,"Đắk Nông",005314,00,14,18937,30161|58405,20815|57251|14284|39535|11940|16366|46457,5739,7636|9932|6052,776,63
2020-03-08,XSMT,"Khánh Hòa",692810,69,10,97082,49030|93347,17272|56681|27120|19149|83742|96280|22865,4980,6288|7423|0629,849,07
2020-03-08,XSMT,"Kon Tum",184615,18,15,15885,75157|49589,94435|43160|92149|42164|13879|11908|04005,0305,7747|6369|4595,261,94
2020-03-09,XSMT,"Phú Yên",787724,78,24,00717,95833|72416,47504|53781|94903|04698|05753|01313|50654,9176,3030|5369|3471,605,27
2020-03-09,XSMT,"Huế",745361,74,61,99688,34277|05285,12186|58507|89869|72527|45195|38259|65209,2913,0968|5209|0361,632,39
2020-03-10,XSMT,"Đắk Lắk",524616,52,16,26916,58072|01647,79776|31951|04329|42561|49767|67700|66585,5157,3110|2857|1296,245,06
2020-03-10,XSMT,"Quảng Nam",174879,17,79,52977,75808|68069,60702|96408|05869|24773|02824|54571|51183,9906,1980|8740|7411,974,93
2020-03-11,XSMT,"Đà Nẵng",022993,02,93,29446,58122|32058,66194|86053|33443|63737|63062|07469|97524,0295,6266|6319|4907,511,73
2020-03-11,XSMT,"Khánh Hòa",927785,92,85,00546,60087|15316,39241|78944|82071|78186|66492|60516|67355,1627,9395|3830|7036,096,42
2020-03-12,XSMT,"Quảng Bình",052477,05,77,84890,09120|45840,01008|47525|82253|50527|29308|99781|12280,6392,6908|9459|2540,286,93
2020-03-12,XSMT,"Bình Định",516004,51,04,92201,05662|45653,32813|39074|83810|86388|30679|33176|88481,3798,7073|8362|4333,264,64
2020-03-12,XSMT,"Quảng Trị",651925,65,25,41646,96474|74671,54432|70629|69842|57183|89826|05111|84613,6670,5309|2885|2057,190,08
2020-03-13,XSMT,"Gia Lai",148637,14,37,44515,62094|55692,75424|69402|94134|32985|41926|79429|11940,1746,7921|6845|1473,311,98
2020-03-13,XSMT,"Ninh Thuận",922288,92,88,50916,59790|50632,99417|62547|28614|53713|93786|13999|89003,9254,5888|4261|6080,479,77
2020-03-14,XSMT,"Đà Nẵng",167523,16,23,25478,03008|79770,85022|81288|90878|86010|28455|76366|63797,0554,8627|9209|6193,034,29
2020-03-14,XSMT,"Quảng Ngãi",654547,65,47,06645,57033|57729,61464|74701|00348|04723|40237|90274|28680,8537,2673|3493|1433,391,29
2020-03-14,XSMT,"Đắk Nông",335236,33,36,96113,66938|74918,10699|08427|35432|50027|66722|68545|49967,9778,9091|6345|3840,089,57
2020-03-15,XSMT,"Khánh Hòa",822730,82,30,57918,80290|17465,42703|58230|41024|76249|05318|07901|88088,5323,1283|0805|4797,716,17
2020-03-15,XSMT,"Kon Tum",275447,27,47,59443,31822|59435,61716|14569|75091|35598|51605|72114|81137,7027,3799|0537|9306,898,97
2020-03-16,XSMT,"Phú Yên",625200,62,00,87514,91787|47236,55852|71931|02823|31660|70595|31870|92874,0813,6875|6379|9092,162,71
2020-03-16,XSMT,"Huế",690355,69,55,94866,53341|80017,85795|18782|16869|87538|49636|20942|11579,4411,0439|0770|6755,341,96
2020-03-17,XSMT,"Đắk Lắk",192118,19,18,47326,57777|25368,39988|46114|45414|46586|57540|96282|64374,1794,9561|1152|7962,960,16
2020-03-17,XSMT,"Quảng Nam",436923,43,23,90187,69428|85329,16654|75734|00990|50351|90786|68867|71910,4858,2489|5561|5613,049,34
2020-03-18,XSMT,"Đà Nẵng",842240,84,40,77251,90875|42006,11342|84977|19151|14702|15132|63158|94808,6572,4000|1428|9498,080,41
2020-03-18,XSMT,"Khánh Hòa",351676,35,76,58677,68231|22079,82015|73127|86369|65094|26304|88505|87110,7581,1921|2809|2709,264,42
2020-03-19,XSMT,"Quảng Bình",444134,44,34,67810,36857|06257,44230|17244|28157|23433|77727|61251|51618,4450,8869|6160|3401,161,24
2020-03-19,XSMT,"Bình Định",668277,66,77,10311,70365|31977,47317|94760|82249|08653|63612|46402|60335,0800,2284|7407|6811,581,29
2020-03-19,XSMT,"Quảng Trị",701334,70,34,75050,37825|68849,46007|96176|67736|28303|59630|51284|54846,1143,7241|6868|6460,941,77
2020-03-20,XSMT,"Gia Lai",886252,88,52,78187,70296|55741,29505|09428|35450|28155|64350|04971|98753,5830,7058|3651|2227,365,24
2020-03-20,XSMT,"Ninh Thuận",449424,44,24,51350,13758|65507,41502|37488|07007|34236|32858|96228|45113,0270,9399|0224|4714,101,12
2020-03-21,XSMT,"Đà Nẵng",148691,14,91,30857,79217|30416,66936|78267|07754|52818|65136|68870|63219,0441,2850|2470|9199,313,84
2020-03-21,XSMT,"Quảng Ngãi",849273,84,73,08384,62335|15104,31051|28315|60293|51588|85160|74467|93808,8463,8226|6303|7277,147,01
