drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
6/21/2023,XSMN,Sóc Trăng,454795,45,95,,19789,54872|55552,70958|72554|26353|36225|40734|29371|04133,9037,9893|3165|8997,469,92
6/22/2023,XSMN,Tây Ninh,969499,96,99,,90003,46779|61506,83473|49522|10851|15956|37098|64170|30472,3226,2336|2568|2733,64,16
6/22/2023,XSMN,An Giang,6305,0,5,,6657,93197|55884,73617|28478|19998|01409|06408|65897|61347,7621,8857|6243|3745,125,21
6/22/2023,XSMN,Bình Thuận,52074,5,74,,99401,57885|44503,58762|03528|64351|34496|10714|37426|24696,9294,1624|5900|2533,344,91
6/23/2023,XSMN,Vĩnh Long,777096,77,96,,62083,39478|18326,31143|53479|19687|03807|47489|64534|91779,1980,0344|8761|8314,932,76
6/23/2023,XSMN,Bình Dương,965190,96,90,,56777,65650|23655,05882|47217|22693|83665|35962|06330|29012,8439,7729|4842|7475,928,44
6/23/2023,XSMN,Trà Vinh,363750,36,50,,88826,83303|96994,48430|10232|24322|05342|18013|37164|83775,5453,9290|2614|2586,225,80
6/24/2023,XSMN,TPHCM,876536,87,36,,15266,94078|10360,56309|85625|86512|45888|48386|48197|08295,2900,2435|1305|4042,209,57
6/24/2023,XSMN,Long An,916974,91,74,,86029,14601|78027,05805|44056|92744|61088|70874|34834|29183,8676,4567|0948|8454,199,37
6/24/2023,XSMN,Bình Phước,473083,47,83,,6312,11063|24235,51057|44054|19625|95014|82853|14388|55151,7354,7489|9801|6188,909,91
6/24/2023,XSMN,Hậu Giang,322577,32,77,,87942,56433|35615,64262|84962|67935|93988|78275|10673|99518,2564,5717|5793|6048,28,6
6/25/2023,XSMN,Tiền Giang,177448,17,48,,90016,41203|61297,31411|28478|91853|33485|19568|31793|76061,3150,3511|7137|9961,550,44
6/25/2023,XSMN,Kiên Giang,318888,31,88,,87344,49722|16643,50117|69148|13041|34392|73319|66519|15304,1715,6299|3938|1751,360,60
6/25/2023,XSMN,Đà Lạt,294206,29,6,,52133,02847|72080,19646|06371|56237|32279|39182|06061|04392,8871,6738|3857|0492,640,31
6/26/2023,XSMN,TPHCM,818030,81,30,,74419,04215|92417,62924|26270|17925|59814|78009|19191|30361,26,2275|8430|1684,219,58
6/26/2023,XSMN,Đồng Tháp,506476,50,76,,51763,86645|96428,99275|41667|96392|82069|60909|92132|11574,7407,1812|1120|2111,352,9
6/26/2023,XSMN,Cà Mau,971407,97,7,,28503,67547|03647,06246|47740|69335|23350|08697|65055|79428,9164,3615|1297|4650,654,5
6/27/2023,XSMN,Bến Tre,968351,96,51,,55872,11532|95951,79751|15471|05657|16196|75931|11771|98566,5743,7152|0468|5126,300,67
6/27/2023,XSMN,Vũng Tàu,318877,31,77,,99017,65124|74574,80431|72513|19054|22225|20177|26722|18077,3333,3846|7884|1830,114,38
6/27/2023,XSMN,Bạc Liêu,627784,62,84,,29686,15825|38844,11710|64995|67286|86027|89141|37981|23203,6716,0931|4326|3545,710,24
6/28/2023,XSMN,Đồng Nai,420065,42,65,,52385,55568|03035,28862|65459|65392|40374|71854|26967|66728,3349,7105|9446|3204,956,23
6/28/2023,XSMN,Cần Thơ,293053,29,53,,1667,67865|11525,11856|89011|47090|37892|20331|79843|06913,1702,6333|9522|3107,421,57
6/28/2023,XSMN,Sóc Trăng,429745,42,45,,45068,59130|45444,56939|20881|35416|37398|30109|35564|14422,6797,7008|3230|5423,569,31
6/29/2023,XSMN,Tây Ninh,19438,1,38,,61318,61050|40032,99793|08652|79635|35450|72229|91183|70010,1138,1262|0833|2721,227,24
6/29/2023,XSMN,An Giang,194940,19,40,,85848,16968|57625,64520|55271|69200|89904|01192|67391|64749,5223,1902|3002|2608,120,14
6/29/2023,XSMN,Bình Thuận,847213,84,13,,17093,92109|18268,93466|17721|38114|98803|48732|38452|72144,6333,8760|4674|1229,512,33
6/30/2023,XSMN,Vĩnh Long,898861,89,61,,91023,93602|94256,19208|99685|40585|01531|04819|58716|63807,8766,0911|2196|1042,786,96
6/30/2023,XSMN,Bình Dương,864379,86,79,,66037,52839|26238,33528|21162|82737|63430|10065|43034|29298,2087,5131|5879|2013,803,83
6/30/2023,XSMN,Trà Vinh,417326,41,26,,19683,44364|67019,31643|81027|36218|53686|22680|74973|15543,8209,4596|9337|0559,847,72
7/1/2023,XSMN,TPHCM,940503,94,3,,2993,44973|05431,59694|74756|84595|33942|51840|90348|10272,3534,2708|4532|7246,432,99
7/1/2023,XSMN,Long An,869377,86,77,,88278,67434|85706,63091|44061|73098|90906|50689|67847|30822,2653,1785|9270|6840,345,21
7/1/2023,XSMN,Bình Phước,281019,28,19,,93972,03853|85464,16859|17112|41210|46654|23526|97004|98111,1286,6267|0628|4068,668,57
7/1/2023,XSMN,Hậu Giang,902640,90,40,,91085,13223|68106,45640|79859|15008|27196|87230|87879|09720,3178,5192|2310|6468,499,13
7/2/2023,XSMN,Tiền Giang,614970,61,70,,30042,88508|68535,79444|40820|04988|80508|37215|58031|18787,3046,1363|7896|0009,152,40
7/2/2023,XSMN,Kiên Giang,690449,69,49,,46693,76258|51013,25632|95294|36542|60320|72538|80774|16326,3070,4756|4097|8351,560,30
7/2/2023,XSMN,Đà Lạt,872735,87,35,,10829,96986|78389,34826|29855|95249|87795|21993|46440|78600,7703,1111|0231|2475,307,99
7/3/2023,XSMN,TPHCM,192240,19,40,,19469,46686|94421,76227|01305|65397|24508|35819|90788|02794,3418,4138|4354|6041,202,26
7/3/2023,XSMN,Đồng Tháp,955402,95,2,,57688,49284|27493,15679|66149|29741|32734|16382|69936|50537,8537,2277|7881|3297,985,74
7/3/2023,XSMN,Cà Mau,496413,49,13,,28154,10158|00171,52672|47612|90307|98615|87411|98214|91646,1797,2166|2847|5971,174,87
7/4/2023,XSMN,Bến Tre,105919,10,19,,62385,96356|71245,67552|85770|86173|05318|17224|60932|05134,579,5756|6906|1997,340,76
7/4/2023,XSMN,Vũng Tàu,254998,25,98,,54717,31205|04946,37282|70569|13703|88293|68165|71259|74632,3626,3457|1183|1103,481,57
7/4/2023,XSMN,Bạc Liêu,593588,59,88,,87059,15224|08748,25874|95997|19198|22324|82012|14308|48002,3313,3289|2356|6033,765,18
7/5/2023,XSMN,Đồng Nai,359861,35,61,,83898,56317|81116,51503|50607|70712|95713|87684|97468|76631,800,8602|7382|6241,581,49
7/5/2023,XSMN,Cần Thơ,411912,41,12,,49830,05581|72902,28203|67505|63154|89236|02776|24575|58353,9358,9665|3774|7733,872,50
7/5/2023,XSMN,Sóc Trăng,695133,69,33,,67360,99069|74460,03165|32032|93868|59538|57781|42879|34923,4897,9926|3704|3165,808,63
7/6/2023,XSMN,Tây Ninh,734247,73,47,,69277,38893|16361,30614|70594|06079|84829|88998|15716|99397,1910,3723|6108|7235,934,22
7/6/2023,XSMN,An Giang,503609,50,9,,8741,72431|98131,07239|10740|61865|72927|78683|60443|91937,9689,1838|0948|3026,849,0
7/6/2023,XSMN,Bình Thuận,679428,67,28,,36481,49000|83407,45726|68989|10747|62196|38628|20792|83079,5851,1551|2076|6725,364,74
7/7/2023,XSMN,Vĩnh Long,721764,72,64,,71779,38330|52132,34910|56306|70652|17884|40254|85716|25946,5078,2969|3063|0429,753,49
7/7/2023,XSMN,Bình Dương,380381,38,81,,20444,89179|60177,27313|94753|74080|36106|36889|94614|36968,7348,4773|9922|1662,793,80
7/7/2023,XSMN,Trà Vinh,149858,14,58,,54560,19848|93402,37689|14877|77724|91353|31946|37606|99578,5030,0799|5966|6735,420,19
7/8/2023,XSMN,TPHCM,934563,93,63,,57685,29121|60969,15316|16773|56477|62444|13131|84495|23745,7765,0919|5917|4042,508,11
7/8/2023,XSMN,Long An,812021,81,21,,3401,63023|43811,64833|15913|04289|06265|26506|88108|40060,1424,0895|6205|7105,311,6
7/8/2023,XSMN,Bình Phước,84418,8,18,,1762,70512|28717,91952|42581|33590|18654|66622|09802|40579,7673,5996|2757|6917,639,55
7/8/2023,XSMN,Hậu Giang,576723,57,23,,25081,85242|53950,93242|33757|59018|58502|73435|98155|57810,5675,3814|1508|8220,321,63
7/9/2023,XSMN,Tiền Giang,690745,69,45,,3289,11920|44398,89944|81204|31868|59276|22031|50479|89474,1604,4385|6027|7654,532,24
7/9/2023,XSMN,Kiên Giang,676636,67,36,,60188,95518|23072,67809|55262|11628|65814|44459|31430|14357,5331,5442|8947|9990,696,59
7/9/2023,XSMN,Đà Lạt,330769,33,69,,28019,25114|60457,97727|36827|53277|05274|81448|69847|44183,2598,1359|3349|6317,27,76
7/10/2023,XSMN,TPHCM,368794,36,94,,41440,12807|69904,40938|41551|76187|94699|77599|27510|11647,2414,4005|3032|0685,796,82
7/10/2023,XSMN,Đồng Tháp,106110,10,10,,25758,74343|68023,29019|82301|87973|76954|21946|27640|64008,94,6911|1368|6002,365,26
7/10/2023,XSMN,Cà Mau,272558,27,58,,86552,05188|66437,93513|29027|11933|71155|38300|77283|71904,8173,3013|5703|3882,435,67
7/11/2023,XSMN,Bến Tre,314504,31,4,,68533,14471|58348,73716|78341|57349|46701|33711|10433|51286,3403,6088|4114|2783,807,81
7/11/2023,XSMN,Vũng Tàu,120938,12,38,,71734,57185|13165,37818|34388|36214|43985|43056|77749|79774,5848,0520|9572|9764,193,93
7/11/2023,XSMN,Bạc Liêu,194909,19,9,,97773,82890|78251,86178|08618|81259|32233|30402|60569|84908,9841,4685|6938|7551,309,18
7/12/2023,XSMN,Đồng Nai,668175,66,75,,32655,69697|88842,40383|35570|02639|35983|02466|76686|19460,1180,4432|8469|2498,118,69
7/12/2023,XSMN,Cần Thơ,275974,27,74,,95995,94985|51746,55504|14774|97890|84336|57708|72419|10697,9965,7943|1697|8103,375,23
